Leaving Date,Leaving Reason,Start Date,Division Name,Job Title,Grade Code,Position Reference,FTE,Staff Category,Contract Type,Division Name,Faculty Name,School Name,Subject Group Name,Salary
04/01/2016,Contract Expired,04/01/2016,NS-Central,Student Union Staff,,CHRNS0069,0,Professional,Non Staff,NS-Central,NS-External Organisations,NS-Student Union,NS-Student Union,
31/03/2016,Not Started,05/04/1994,Chief Finance Office,Building Surveyor,HU07,CHRSET011,0,Professional,Continuing,Chief Finance Office,Estates,Development,Project Management,40322
01/04/2016,Resigned,01/06/2015,Academic Affairs,Laboratory Technician,HU05,CHRD058189,0.5,Academic,Continuing,Academic Affairs,Faculty of Science and Engineering,School of Environmental Sciences,Biology,
18/04/2016,Resigned,14/12/2015,Chief Finance Office,Catering Assistant (casual),HU01,CHRD453055,0,Professional,Casual,Chief Finance Office,Campus and Accommodation Services,Catering and Events,Hull Campus Commercial Services,22214
29/04/2016,Resigned,03/07/2014,Chief Finance Office,General Assistant,HU01,CHRDSH289,0,Professional,Casual,Chief Finance Office,Campus and Accommodation Services,Catering and Events,Hull Campus Commercial Services,
29/04/2016,Resigned,10/12/2014,Chief Finance Office,Catering Assistant (casual),HU01,CHRDSH291,0,Professional,Casual,Chief Finance Office,Campus and Accommodation Services,Catering and Events,Hull Campus Commercial Services,
29/04/2016,Resigned,10/12/2014,Chief Finance Office,Catering Assistant (Casual),HU01,CHRD453051,0,Professional,Casual,Chief Finance Office,Campus and Accommodation Services,Catering and Events,Hull Campus Commercial Services,
29/04/2016,Resigned,23/11/2015,Chief Finance Office,Catering Assistant (casual),HU01,CHRD453057,0,Professional,Casual,Chief Finance Office,Campus and Accommodation Services,Catering and Events,Hull Campus Commercial Services,
12/05/2016,Contract Expired,19/11/2014,Academic Affairs,Laboratory Assistant,HU01,CHRDIE055,0,Professional,Casual,Academic Affairs,Faculty of Science and Engineering,School of Environmental Sciences,Geography,
25/05/2016,Contract Expired,01/10/2013,Academic Affairs,Demonstrator (Academic),HU06,CHRFEE00412330,0,Academic,Fee,Academic Affairs,Faculty of Science and Engineering,School of Mathematics and Physical Sciences,Physics,
22/05/2016,Resigned,29/03/2016,Chief Finance Office,Security Guard,HU02,CHRD450012,0.66,Professional,Continuing,Chief Finance Office,Estates,Operations,Security and Portering,16766
09/06/2016,Contract Expired,07/04/2016,Academic Affairs,Lecturer,HU07,CHRFEE46317803,0,Academic,Fee,Academic Affairs,Faculty of Health and Social Care,Health and Social Work,Nursing,
19/06/2016,Contract Expired,06/07/2015,Chief Finance Office,Student Assistant,HU01,CHRD455046,0,Professional,Casual,Chief Finance Office,Campus and Accommodation Services,Campus and Accommodation Services,Hull Campus Accommodation Office,
01/07/2016,Contract Expired,01/09/2013,Academic Affairs,Tutor,HU06,CHRFEE01517315,0,Academic,Fee,Academic Affairs,Faculty of Arts Cultures and Education,School of Histories Languages and Cultures,Cultures (American Studies Philosophy),
31/07/2016,Contract Expired,01/08/2015,Academic Affairs,Catering Assistant,HU01,CHRFEE17115851,0,Professional,Fee,Academic Affairs,Scarborough - Services,Scarborough Facilities,Scarborough Catering,
31/07/2016,Contract Expired,22/09/2014,Academic Affairs,Catering Assistant,HU01,CHRFEE17115854,0,Professional,Fee,Academic Affairs,Scarborough - Services,Scarborough Facilities,Scarborough Catering,
31/07/2016,Contract Expired,23/01/2015,Chief Finance Office,Casual Campus Sport Activator,HU02,CHRD475087,0,Professional,Casual,Chief Finance Office,Campus and Accommodation Services,Catering and Events,Hull Sport,
